country,city,zone,metric,current_value,value_1w_ago,value_5w_ago,delta_1w,delta_5w
AR,Buenos Aires,Belgrano,% PRO Users Who Breakeven,0.4765318184,0.4897551991,0.4779444111,-0.01322338070000001,-0.0014125927000000482
AR,Buenos Aires,Belgrano,% Restaurants Sessions With Optimal Assortment,0.9678524692,0.9679153913,0.9674470955,-6.292210000002907e-05,0.0004053737000000446
AR,Buenos Aires,Belgrano,Gross Profit UE,4.084024958,5.212632894,3.787869799,-1.1286079360000008,0.29615515899999956
AR,Buenos Aires,Belgrano,Lead Penetration,0.4400752939,0.4364604989,0.4326578936,0.003614795000000004,0.007417400299999988
AR,Buenos Aires,Belgrano,MLTV Top Verticals Adoption,0.3828110278,0.3895826156,0.3878624669,-0.006771587800000034,-0.005051439099999999
AR,Buenos Aires,Belgrano,Non-Pro PTC > OP,0.8522060216,0.8490155682,0.8543822427,0.003190453400000015,-0.002176221099999931
AR,Buenos Aires,Belgrano,Perfect Orders,0.9172671696,0.9184475633,0.9124340303,-0.0011803937000000042,0.004833139299999956
AR,Buenos Aires,Belgrano,Pro Adoption (Last Week Status),0.5342573554,0.5117256432,0.5155505744,0.022531712199999943,0.018706781000000006
AR,Buenos Aires,Belgrano,Restaurants Markdowns / GMV,0.09534191378,0.09348331398,0.08821619997,0.0018585997999999992,0.0071257138099999895
AR,Buenos Aires,Belgrano,Restaurants SS > ATC CVR,0.6520044779,0.6490644776,0.6424783196,0.0029400003000000785,0.009526158300000032
AR,Buenos Aires,Belgrano,Restaurants SST > SS CVR,0.9523963592,0.9528654795,0.9530754105,-0.00046912030000001437,-0.0006790513000000109
AR,Buenos Aires,Belgrano,Retail SST > SS CVR,0.9159611685,0.9153617616,0.906122694,0.0005994068999999325,0.009838474499999972
AR,Buenos Aires,Belgrano,Turbo Adoption,0.388595995,0.3781665469,0.3807489088,0.010429448100000016,0.00784708620000002
AR,Buenos Aires,Boulogne,% PRO Users Who Breakeven,0.3197860963,0.3377337734,0.3345323741,-0.017947677100000003,-0.014746277799999985
AR,Buenos Aires,Boulogne,% Restaurants Sessions With Optimal Assortment,0.8419827742,0.8304469602,0.7545684006,0.011535814000000033,0.08741437360000004
AR,Buenos Aires,Boulogne,Gross Profit UE,0.5157096967,0.4686451586,-0.4222871422,0.0470645381,0.9379968389
AR,Buenos Aires,Boulogne,Lead Penetration,0.6206941794,0.6171875,0.5828257936,0.0035066794000000456,0.03786838580000007
AR,Buenos Aires,Boulogne,MLTV Top Verticals Adoption,0.1939760091,0.1979788914,0.1954226764,-0.0040028822999999825,-0.001446667299999982
AR,Buenos Aires,Boulogne,Non-Pro PTC > OP,0.7630751667,0.7615446353,0.7714821922,0.0015305313999999237,-0.008407025500000054
AR,Buenos Aires,Boulogne,Perfect Orders,0.8661602449,0.8675426839,0.8687608195,-0.001382439000000013,-0.0026005745999999608
AR,Buenos Aires,Boulogne,Pro Adoption (Last Week Status),0.362585034,0.3319849754,0.324957651,0.03060005859999998,0.03762738299999996
AR,Buenos Aires,Boulogne,Restaurants Markdowns / GMV,0.1249997504,0.1241300677,0.1148678999,0.000869682699999999,0.010131850499999998
AR,Buenos Aires,Boulogne,Restaurants SS > ATC CVR,0.538264109,0.5315136746,0.4905149188,0.006750434400000005,0.04774919020000001
AR,Buenos Aires,Boulogne,Restaurants SST > SS CVR,0.925930774,0.9267543189,0.9061884893,-0.0008235449000000283,0.019742284700000057
AR,Buenos Aires,Boulogne,Retail SST > SS CVR,0.9139440712,0.9214063043,0.9078645106,-0.007462233100000049,0.0060795606000000335
AR,Buenos Aires,Boulogne,Turbo Adoption,0.1237194641,0.1237113402,,8.12389999998997e-06,
AR,Buenos Aires,Bs As Sur Adrogue,% PRO Users Who Breakeven,0.3254389547,0.3362139918,0.3261915173,-0.010775037099999996,-0.0007525626000000063
AR,Buenos Aires,Bs As Sur Adrogue,% Restaurants Sessions With Optimal Assortment,0.9449781136,0.9453579544,0.9361493978,-0.00037984080000008635,0.008828715799999998
AR,Buenos Aires,Bs As Sur Adrogue,Gross Profit UE,0.7310124344,2.101758617,1.328297556,-1.3707461826000003,-0.5972851216000001
AR,Buenos Aires,Bs As Sur Adrogue,Lead Penetration,0.382290662,0.3792880632,0.3781744275,0.003002598799999978,0.004116234499999982
AR,Buenos Aires,Bs As Sur Adrogue,MLTV Top Verticals Adoption,0.1703617912,0.1765083939,0.1748442298,-0.006146602700000003,-0.004482438599999999
AR,Buenos Aires,Bs As Sur Adrogue,Non-Pro PTC > OP,0.8066210189,0.8002009446,0.8270751265,0.006420074300000023,-0.020454107599999993
AR,Buenos Aires,Bs As Sur Adrogue,Perfect Orders,0.9063595822,0.9104523454,0.9103268202,-0.00409276319999996,-0.003967237999999984
AR,Buenos Aires,Bs As Sur Adrogue,Pro Adoption (Last Week Status),0.3680907066,0.3504456328,0.3543834892,0.017645073799999966,0.013707217399999971
AR,Buenos Aires,Bs As Sur Adrogue,Restaurants Markdowns / GMV,0.1134992542,0.1116513967,0.1028642457,0.0018478574999999942,0.010635008500000001
AR,Buenos Aires,Bs As Sur Adrogue,Restaurants SS > ATC CVR,0.5650744126,0.5624540522,0.5466234411,0.0026203604000000214,0.01845097149999997
AR,Buenos Aires,Bs As Sur Adrogue,Restaurants SST > SS CVR,0.9362196698,0.9379000327,0.9330080708,-0.0016803628999999543,0.0032115990000000094
AR,Buenos Aires,Bs As Sur Adrogue,Retail SST > SS CVR,0.8886178152,0.9051957237,0.8937677411,-0.01657790849999996,-0.005149925899999963
AR,Buenos Aires,Bs As Sur Adrogue,Turbo Adoption,0.2437166794,0.2341128622,0.7011217949,0.009603817200000003,-0.45740511550000007
AR,Buenos Aires,Bs As Sur Barrio San Jose,% PRO Users Who Breakeven,0.4404761905,0.4191616766,0.397260274,0.0213145139,0.04321591649999995
AR,Buenos Aires,Bs As Sur Barrio San Jose,% Restaurants Sessions With Optimal Assortment,0.8525317185,0.8562898414,0.7875362904,-0.003758122899999994,0.06499542810000003
AR,Buenos Aires,Bs As Sur Barrio San Jose,Gross Profit UE,-0.4946972714,1.031686628,0.4138568728,-1.5263838994,-0.9085541442
AR,Buenos Aires,Bs As Sur Barrio San Jose,Lead Penetration,0.09988590644,0.1003783102,0.08678424634,-0.0004924037599999959,0.01310166010000001
AR,Buenos Aires,Bs As Sur Barrio San Jose,MLTV Top Verticals Adoption,0.1348637196,0.1422423355,0.1346118839,-0.007378615900000024,0.00025183569999998046
