country,city,zone,metric,week,week_label,value
MX,Leon,LEO_Centro,Orders,8,l8w,4304.0
CO,Pasto,Pasto Villas del norte,Orders,8,l8w,4298.0
MX,Torreon,Tor_gomez_palacio,Orders,8,l8w,4265.0
CO,Soacha,Soacha,Orders,8,l8w,4251.0
MX,Xalapa,Xalapa Centro,Orders,8,l8w,4192.0
EC,Guayaquil,Samborondon,Orders,8,l8w,4172.0
CO,Manizales,Zona Villapilar,Orders,8,l8w,4144.0
MX,Toluca,Tol_Centro,Orders,8,l8w,4124.0
MX,Hermosillo,Hmo_Progreso,Orders,8,l8w,4097.0
MX,Puebla,San francisco,Orders,8,l8w,4008.0
EC,Guayaquil,Alborada,Orders,8,l8w,4002.0
CO,Ibague,Centro Ricaurte,Orders,8,l8w,3967.0
MX,Puebla,Cholula,Orders,8,l8w,3949.0
MX,Durango,Dgo_centro,Orders,8,l8w,3914.0
MX,Zamora,ZAM_Zamora_1,Orders,8,l8w,3910.0
PE,Piura,Residencial,Orders,8,l8w,3857.0
CO,Santa Marta,Zazue,Orders,8,l8w,3840.0
MX,Mazatlan,Maz_1,Orders,8,l8w,3772.0
PE,Lima,Huayna Capac,Orders,8,l8w,3769.0
CO,Medellin,Manrique_central,Orders,8,l8w,3763.0
BR,Rio De Janeiro,Copacabana,Orders,8,l8w,3758.0
MX,Aguascalientes,AGS_Trojes,Orders,8,l8w,3738.0
CO,Pereira,Cerritos,Orders,8,l8w,3714.0
MX,Other,Other,Orders,8,l8w,3698.0
PE,Lima,Callao,Orders,8,l8w,3661.0
BR,Curitiba,PR - CWB - Batel/Centro,Orders,8,l8w,3657.0
BR,Grande São Paulo,SP - BAR - Barueri,Orders,8,l8w,3636.0
MX,Ciudad De Mexico,Las Americas,Orders,8,l8w,3626.0
PE,Arequipa,Centro Historico Arequipa,Orders,8,l8w,3605.0
CO,Bogota,Tunjuelito,Orders,8,l8w,3592.0
MX,Queretaro,QRO_JURICA_JURIQUILLA,Orders,8,l8w,3541.0
MX,Pachuca,PCH Centro-Prepa 3,Orders,8,l8w,3483.0
AR,Cordoba,Cordoba Cofico,Orders,8,l8w,3460.0
MX,Mexicali,MXL_Centro_Norte,Orders,8,l8w,3456.0
BR,Grande São Paulo,SP - SP - Santana/Tucuruvi,Orders,8,l8w,3455.0
PE,Lima,Campo Fe Norte,Orders,8,l8w,3452.0
AR,Buenos Aires,Avellaneda - Sarandi,Orders,8,l8w,3421.0
CL,Other,Other,Orders,8,l8w,3419.0
